text,movement,style,year,corpus,var
"  А уже перед самой войной выслали из Москвы и всю семью Идельсонов (очевидно, разрешив взять с собой минимум вещей). ",1,0,1996,0,из
  После окончания института папа получил диплом инженера-строителя и стал часто уезжать из Москвы на различные стройки. ,1,0,1996,0,из
 Но родители всё-таки решили вывезти нас из Москвы ― на дачу к соседям. ,1,0,1996,0,из
"  В конце октября институт, где работал папа, наконец-то получил железнодорожный состав, чтобы эвакуироваться из Москвы. ",1,0,1996,0,из
 Выехали мы из Москвы лишь на следующее утро. ,1,0,1996,0,из
" Кроме того, с нами из Москвы под видом родственницы мама привезла женщину-еврейку из соседнего дома на нашей улице Грановского, которая боялась оставаться в городе. ",1,0,1996,0,из
" А рядом, на этой же улице, в здании местного Политехнического института, размещался эвакуированный из Москвы Архитектурный институт. ",1,0,1996,0,из
" Репрессии по отношению к родственникам ""врагов народа"" продолжались, и Миру отправили из Москвы в далёкую ссылку. ",1,0,1996,0,из
" Именно она дала мне мудрый совет, когда я сомневалась, стоит ли мне уезжать из Москвы, чтобы петь в оперном театре другого города. ",1,0,1996,0,из
" В Ташкенте она получила письмо из Москвы от своей подруги, которая обращалась к ней по-девичьи ласково: ""Дорогая Кисуля! ",1,0,1996,0,из
  Из общих курсов «Историю лингвистических учений» читала профессор из Москвы ― Розалия Осиповна Шор. ,0,0,1995,0,из
" ""― "" Из Москвы, близко, рукой подать, два с половиной часа на машине. ",1,1,1994,0,из
 Я здесь давно не был.  Я из Москвы.  У нас досъемки… ,0,0,1993,0,из
 Туда же поместили одного молодого журналиста из Москвы. ,0,0,1985,0,из
" Отсутствовал он более тридцати лет, ибо отбыл из Москвы в 1925 году. ",1,0,1987,0,из
"  Студенту она очень обрадовалась и сообщила, что она тоже студентка-медичка из Москвы, мобилизована. ",0,0,1987,0,из
" Их познакомил тот самый художник Василий Алексеевич Ватагин, к которому ещё мальчиком привязался Олег Цингер и который приехал специально из Москвы в Берлин, чтобы поработать в Берлинском зоологическом саду. ",1,0,1987,0,из
" В письмах друзей из Москвы обо всем этом говорилось глухо, намёками. ",0,0,1987,0,из
" Приезжали из Москвы, из Обнинска, Игорь Борисович Паншин прилетел из Норильска. ",1,0,1987,0,из
" Пока из Москвы приезжали Вавилов, Вернадский, тот же Кольцов и другие, пока существовало свободное общение, переписка, командировки, он не ощущал никакой тоски. ",1,0,1987,0,из
" Сам я тоже из Москвы, с Таганской площади. ",0,0,1987,0,из
" Зубр вмешивался, указывал, с такой энергией, что поначалу его приняли за присланного откуда-то из Москвы уполномоченного. ",1,0,1987,0,из
"  Прилетел из Москвы Лев Андреевич Арцимович, известный уже в то время физик. ",1,0,1987,0,из
" На симпозиумы начали приезжать из Москвы, Ленинграда, Новосибирска, Киева. ",1,0,1987,0,из
 Из Москвы кто-то привозил не так давно. ,1,0,1987,0,из
 Из Москвы их два― утром и вечером. ,1,0,1987,0,из
" ― А я-то чувствую: из лесу русским духом пахнет, а ко мне гость из Москвы. ",0,1,1985,0,из
"  Натэлла приехала из Москвы, движимая романтическими, вернее ― авантюрными целями. ",1,0,1983,0,из
"  ― Поздоровался бы, Воронов, сказал Степан, вот кочегара Офштейна ещё сегодня не видел.  И вот товарищ из Москвы.   ― Ах, из Москвы… ",0,1,1989,0,из
"  ― Поздоровался бы, Воронов, сказал Степан, вот кочегара Офштейна ещё сегодня не видел.  И вот товарищ из Москвы.   ― Ах, из Москвы… ",0,1,1989,0,из
" И вот товарищ из Москвы.   ― Ах, из Москвы…  Ну что там? ",0,1,1989,0,из
" И вот товарищ из Москвы.   ― Ах, из Москвы…  Ну что там? ",0,1,1989,0,из
" А то опять увижу… …  Возвращаюсь из Москвы, везу анекдотец.  ""Шаху отрезали ногу…"" ",1,0,1981,0,из
" Придёт из Москвы бумажка ""слушали ― постановили"", и сиди ещё пять лет. ",1,0,1978,0,из
 У меня вот дочь приезжает из Москвы на каникулы. ,1,0,1978,0,из
" Вчера он из Москвы вернулся поздно, прихватил с собой ещё несколько человек, и они часов до двух сидели за столом, и он за разговором, потихоньку-помаленечку, а рюмка за рюмкой выпил, наверно, с полбутылки красного вина, Вино это было из самых его любимых ― красное, терпкое, очень кислое, такое делали только в одной местности в Грузии. ",1,0,1978,0,из
"  «Будьте щепетильны, будьте крайне щепетильны в отношении ОСО, ― заклинал на общем собрании наркомата Роман Львович Штерн, высокий гость из Москвы и двоюродный брат этого самого Неймана.― Не теряйте чувства стиля! ",0,0,1978,0,из
 У Неймана до таких штучек ещё нос не дорос.  Небось какой-нибудь зам из Москвы прихватил.  Но хороша! ,0,0,1978,0,из
"  ― Да нет, ― объяснила она словоохотливо. ― Я недавно только приехала из Москвы. ",1,1,1978,0,из
 Тут на них из Москвы хорошенько и цыкнули. ,1,0,1978,0,из
" Так вот, может, чтоб не вызывать ненужные ассоциации, и решили его из Москвы ― сюда?! ",1,0,1978,0,из
" Сейчас вот каких-то бумаг из Москвы ожидает, чтоб к родным ехать. ",1,0,1978,0,из
  ― А на этих электричках всегда только вот такие из Москвы возвращаются. ,1,1,1977,0,из
" Так или иначе, она влюбила в себя рязанского поэта, сама в него влюбилась без памяти, и они улетели за границу из Москвы на дюралевом ""юнкерсе"" немецкой фирмы ""Люфтганза"". ",1,0,1976,0,из
" Приехав из Москвы и увидев эту картину, я понял, что оставаться птицелову в Одессе невозможно. ",1,0,1976,0,из
 Ключик поехал в Петроград из Москвы по каким-то газетным делам. ,1,0,1976,0,из
" Летом наезжали дачники из Чернигова, Киева, даже из Москвы и Петербурга. ",1,0,1976,0,из
" Такого чистого, сухого, смолистого воздуха, как в этом лесу, я думаю, вы нигде не найдёте, недаром подышать этим воздухом приезжали дачники даже из Москвы и Петербурга. ",1,0,1976,0,из
" Между прочим, и в двадцатые годы в наш город приезжали дачники из Москвы и Ленинграда и ходили с гамаками в лес. ",1,0,1976,0,из
" Помню, приезжал некий театральный критик из Москвы, Соня принимала его по первому разряду, хотя за глаза, смеясь, называла дуболомом, надеялась, что он похвалит её в газете, и действительно он упомянул её в рецензии одной фразой: ""Спорно, но интересно толкование этого образа актрисой Вишневской"". ",0,0,1976,0,из
